mechanism_regime,model_name,n_rows,n_grids,valid_pixels,flood_pixels,tp,fp,fn,tn,pooled_precision,pooled_recall,pooled_f1,pooled_iou,fp_per_flood_pixel,fn_per_flood_pixel,fp_rate_valid,fp_rate_nonflood,predicted_positive_rate,median_grid_f1,mean_grid_f1,median_fp_rate_valid,mean_flood_fraction,mean_permanent_water_fraction,mean_obs_ambiguity_score,mean_hydro_implausibility_score
low_signal_low_memory,r19,3907,3907,192734515,1395659,7344,199358,1388315,191139498,0.03552940948805527,0.005262030338356289,0.009166473722213658,0.004604339640267157,0.14284148205256442,0.9947379696616437,0.001034365847756952,0.0010419106927241166,0.0010724700762600825,0.0,0.002808914115965136,0.0,0.007146239524419399,9.200579377328432e-06,,
low_signal_low_memory,r20,3907,3907,192734515,1395659,718616,4051788,677043,187287068,0.1506404908263535,0.5148936810495973,0.23308746602167377,0.13191794247837565,2.903136081234743,0.4851063189504026,0.021022638316754008,0.02117598110861497,0.024751166131297242,0.0,0.19244653931475678,0.002311862244897959,0.007146239524419399,9.200579377328432e-06,,
memory_dominated_low_signal,r19,337,337,15220921,254102,16578,1745099,237524,13221720,0.009410351613831594,0.06524151718601191,0.016448231676190694,0.008292312778955193,6.867710604402956,0.9347584828139881,0.11465134074344122,0.11659785556302912,0.11574049954007383,0.0,0.02659982946850301,0.029792840934045824,0.016367467127812056,0.2637587025937582,,
memory_dominated_low_signal,r20,337,337,15220921,254102,139278,3892302,114824,11074517,0.034546753382048725,0.5481184721096253,0.06499688964323531,0.03359006985329939,15.317872350473431,0.4518815278903747,0.25572053097181174,0.2600620746465899,0.264870962801791,0.06282722513089,0.11062390522028814,0.1142578125,0.016367467127812056,0.2637587025937582,,
mixed_transition,r19,1128,1128,55740073,5935757,790345,1280501,5145412,48523815,0.3816531987409976,0.13314982402413036,0.19742330174232442,0.10952283025357464,0.2157266545783461,0.8668501759758697,0.02297271838879723,0.025710643230197158,0.037151835089989926,0.0,0.0583455128484848,1.992984693877551e-05,0.10561623141585826,0.04979644042780145,,
mixed_transition,r20,1128,1128,55740073,5935757,4593293,3505327,1342464,46298989,0.5671698388120445,0.7738344073047465,0.654577399481288,0.48652178076161595,0.5905442220764765,0.22616559269525352,0.06288701846515343,0.0703819925967862,0.14529259766129118,0.5065874647045805,0.4737243824927221,0.02352718431122449,0.10561623141585826,0.04979644042780145,,
signal_plus_memory,r19,139,139,6524499,2925154,1059189,784579,1865965,2814766,0.5744697814475574,0.36209683319237207,0.4442047909359809,0.285516235265449,0.26821801518826016,0.6379031668076279,0.1202512254197602,0.21797827104653764,0.28259150625971435,0.312981298129813,0.34316346900103095,0.08900669642857142,0.4446330225073822,0.1905086836860919,,
signal_plus_memory,r20,139,139,6524499,2925154,2798610,1811934,126544,1787411,0.6070021238274702,0.9567393716706881,0.7427606573405675,0.5907869982571572,0.6194320025543955,0.04326062832931189,0.2777123576844751,0.5034065920327171,0.7066510394131411,0.7461328935202539,0.7234488398427261,0.2557397959183674,0.4446330225073822,0.1905086836860919,,
signal_rich_low_memory,r19,1592,1592,79621092,18653445,3174703,60737,15478742,60906910,0.9812275919194916,0.17019392396417926,0.2900744373228695,0.16964155847153778,0.0032560741460893683,0.8298060760358207,0.0007628255085976465,0.0009962168951673663,0.04063546377886905,0.00282020557651555,0.08673926986332735,0.0,0.23432579343573015,2.1973771921965175e-05,,
signal_rich_low_memory,r20,1592,1592,79621092,18653445,15603547,2689527,3049898,58278120,0.8529756671842031,0.8364967972404025,0.8446558659558698,0.7310859518533782,0.14418392956368115,0.16350320275959748,0.033779077031498135,0.04411400361244055,0.22975160903344555,0.7946091730137091,0.7494594736083773,0.012316645408163265,0.23432579343573015,2.1973771921965175e-05,,
