left_out_event,left_out_aoi,mechanism_regime,n_grids,r19_pooled_f1,r20_pooled_f1,delta_f1,r19_fp_rate_valid,r20_fp_rate_valid,delta_fp_rate,lambda_star
1111002,1,low_signal_low_memory,3895,0.008851226710359041,0.23196222969657196,0.22311100298621292,0.001020037781897709,0.021009271967860375,0.019989234185962667,11.161558312368536
1111002,1,memory_dominated_low_signal,333,0.016465257777270023,0.06520085998745578,0.04873560221018576,0.11528189520585191,0.2572348903457364,0.14195299513988446,0.3433221128033285
1111002,1,mixed_transition,1122,0.19770141399948,0.6548741362466727,0.4571727222471927,0.022888109156705517,0.06283684292427773,0.039948733767572214,11.443985306445327
1111002,1,signal_plus_memory,139,0.4442047909359809,0.7427606573405675,0.2985558664045866,0.1202512254197602,0.2777123576844751,0.15746113226471492,1.8960607110500833
1111002,1,signal_rich_low_memory,1582,0.28980852017251546,0.8447006050450576,0.5548920848725422,0.0007433719622090992,0.0337929863864908,0.033049614424281705,16.78966894285037
1111003,1,low_signal_low_memory,3894,0.008593715063277392,0.23639625609196052,0.22780254102868314,0.0008593497696707736,0.02058506206977258,0.019725712300101807,11.548507732595665
1111003,1,memory_dominated_low_signal,335,0.016670588448241534,0.06543206966295313,0.0487614812147116,0.11355339331165216,0.25434597260509284,0.1407925792934407,0.3463355914027446
1111003,1,mixed_transition,1124,0.1976834434813987,0.6559826539187127,0.458299210437314,0.022868865675803915,0.0625180442010912,0.03964917852528728,11.558857648085242
1111003,1,signal_plus_memory,139,0.4442047909359809,0.7427606573405675,0.2985558664045866,0.1202512254197602,0.2777123576844751,0.15746113226471492,1.8960607110500833
1111003,1,signal_rich_low_memory,1592,0.2900744373228695,0.8446558659558698,0.5545814286330003,0.0007628255085976465,0.033779077031498135,0.03301625152290049,16.79722570105621
1111004,1,low_signal_low_memory,1361,0.04489178513309102,0.04228284543740749,-0.0026089396956835292,0.002240724317631532,0.052829493829170536,0.050588769511539004,-0.051571519150874885
1111004,1,memory_dominated_low_signal,71,0.008996208163731544,0.03689448940378506,0.027898281240053512,0.3979017181986522,0.4668613837875026,0.06895966558885036,0.4045594044261752
1111004,1,mixed_transition,240,0.3391200921637032,0.624538775401552,0.2854186832378488,0.09431189152634467,0.14901627515702243,0.054704383630677755,5.217473706765036
1111004,1,signal_plus_memory,70,0.5291424072811258,0.7614065589007978,0.23226415161967195,0.17492283470170164,0.2658139005713259,0.09089106586962428,2.5554123433081495
1111004,1,signal_rich_low_memory,360,0.49480731750012225,0.9021513079766302,0.407343990476508,0.002530602255784863,0.06940084521100269,0.06687024295521783,6.091558404375788
1111005,1,low_signal_low_memory,3025,0.005472034784748856,0.3215221644408306,0.31605012965608176,0.0009528193962300067,0.014666883585817149,0.013714064189587143,23.045694207560533
1111005,1,memory_dominated_low_signal,294,0.033838098920532696,0.08289627398354632,0.049058175063013625,0.04161754378099103,0.19673640159040706,0.15511885780941603,0.31626183789522266
1111005,1,mixed_transition,1019,0.17349620821442682,0.6574142353678996,0.48391802715347276,0.015533992356492384,0.05353602435616316,0.03800203199967078,12.734003991093555
1111005,1,signal_plus_memory,122,0.45390637146145346,0.7440767355938674,0.290170364132414,0.1116034944504168,0.27609963277837796,0.16449613832796117,1.763994991504859
1111005,1,signal_rich_low_memory,1274,0.05541489607128509,0.7867782001841953,0.7313633041129102,0.0004480896973318658,0.024741724245261085,0.02429363454792922,30.10514143818185
1111006,1,low_signal_low_memory,3453,0.0070731817015321045,0.30411688796048403,0.29704370625895193,0.000849866586006716,0.014729817060922074,0.013879950474915357,21.40091975081513
1111006,1,memory_dominated_low_signal,315,0.01455428320588761,0.06318783885697936,0.048633555651091745,0.11289979476196565,0.2580967786656509,0.14519698390368524,0.3349488008879872
1111006,1,mixed_transition,1007,0.13562484121069782,0.6639095625943108,0.5282847213836129,0.013592630773406987,0.052151138608452184,0.0385585078350452,13.700860096651965
1111006,1,signal_plus_memory,86,0.31813486867943513,0.7231979614965006,0.4050630928170655,0.08390187131978913,0.2907153353680468,0.20681346404825765,1.9585915002252874
1111006,1,signal_rich_low_memory,1560,0.28467806684953956,0.8446239750326842,0.5599459081831446,0.0006333516624802567,0.032956372072361774,0.03232302040988152,17.323440108089734
