unit_id,event,aoi,region,aoi_name,valid_weight,flood_weight,flood_prevalence,r19_selected_f1,r20_selected_f1,r20_minus_r19_f1,r19_precision,r20_precision,r19_recall,r20_recall,r19_fp_per_flood,r20_fp_per_flood
1111002:01,1111002,01,Cameroon,Djagala,0.0006613619832550115,0.0005789880895146219,0.08218752066825118,0.2584821700701006,0.6876039845094055,0.4291218144393049,0.4488145639288738,0.586188165423336,0.1815084324972177,0.8314527865764917,0.22290899751733584,0.5869531718174814
1111003:01,1111003,01,Djibouti,Djibouti,0.0003794754828628567,3.4503348096150013e-05,0.00853597223755043,0.02571461370680748,0.05411767294006359,0.028403059233256107,0.014110137461855035,0.02813599062133646,0.14480678063496624,0.7067950007182876,10.117799166786382,24.413877316477517
1111004:01,1111004,01,USA,Houston,0.11477636887968642,0.08002707846154047,0.0654575819106544,0.06168909548203766,0.6793274900485277,0.6176383945664901,0.41570168225685794,0.632767664050479,0.03331659786046084,0.7332833870515999,0.04682885086513476,0.42556752887178756
1111005:01,1111005,01,Madagascar,Farihy Alaotra,0.03142112465955141,0.050589531660395634,0.15115217806874628,0.42485189990203376,0.754476422949539,0.3296245230475052,0.6279829935871364,0.6378346289163351,0.3210146140192531,0.9233265637008439,0.19016899652021033,0.524268975709665
1111006:01,1111006,01,Madagascar,Ambato Boeny,0.015554738618763445,0.013326669129699811,0.08043301978058587,0.4680794348927096,0.5741712352594016,0.10609180036669202,0.48690863410482255,0.41619673323432016,0.4506523010180627,0.9254361691206991,0.4748854065779079,1.2981184511402808
1111007:01,1111007,01,Nepal,Patna,0.09550934942545274,0.06815092294820457,0.06698866630621972,0.45166914909753986,0.6278638201249462,0.17619467102740638,0.47618137324935006,0.4922459079084886,0.4295569921164995,0.8666268490239065,0.47252993578095953,0.8939298871532027
1111008:01,1111008,01,Nicaragua,Dakban,0.002645958404766727,0.0023806913653108674,0.08446865143256108,0.5181094015777636,0.6874098205285207,0.1693004189507571,0.5680135875705513,0.5804791082195946,0.47626592490958797,0.8426320161731914,0.3622103639176267,0.6089827004316043
1111009:01,1111009,01,Pakistan,Larkana,0.43325654178570855,0.5877661655608437,0.1273605512461821,0.654433422706968,0.3977883615445531,-0.2566450611624149,0.6111362383692588,0.24869278232145592,0.7043333447685582,0.9932718121603397,0.4481647408432267,3.0006993955623433
1111010:01,1111010,01,Peru,Sechura,0.011599893428762258,0.023451634744692102,0.18979929665676284,0.7973561707538251,0.4329169816090166,-0.36443918914480855,0.8278679628439297,0.2763841753958325,0.7690135105687974,0.9983315484240911,0.15989489642770863,2.6137838955744606
1111011:01,1111011,01,Philippines,Tuguegarao,0.076307715492223,0.052240071510407035,0.06427036812546828,0.6711558144363632,0.6944104060433076,0.02325459160694443,0.6926455849774514,0.5468941506458355,0.6509593848126233,0.9509013736889856,0.2888565887979135,0.7878288222109924
1111013:01,1111013,01,USA,St Louis,0.20128771332923742,0.07939721515799641,0.03703083288571743,0.2261262894732831,0.4779806264305213,0.25185433695723825,0.5141861101236651,0.3203307585237594,0.14493186281266793,0.9411793606701148,0.13693468309190904,1.9969692111608544
118:01,118,01,Spain,Zaragoza,0.003922567275043575,0.0027330161011279107,0.06541046943330904,0.1289156334558378,0.16615124270856735,0.037235609252729535,0.5898762621409458,0.0910447753404119,0.0723654381173125,0.9491096916475329,0.05031357570613477,9.475537830397075
118:02,118,02,Spain,Trespaderne,0.0040626589634379885,0.00033080289449633035,0.007644241694522637,0.002055716268769008,0.03274679442091168,0.030691078152142677,0.0035104226983207875,0.016737141234629216,0.0014534230360059336,0.7533975636434469,0.41257735357137504,44.26011777221714
130:06,130,06,Myanmar,Pathein,0.008614532271248579,0.038992709027674384,0.4249395788784764,0.6516775040829867,0.9238703613576112,0.2721928572746245,0.9408338297776881,0.8721513640286919,0.4984757310605358,0.9821099563452224,0.0313476184870903,0.14396746192378476
