excluded_unit,r19_pooled_f1,r20_pooled_f1,r20_minus_r19_pooled_f1,pooled_winner,r19_precision,r20_precision,r19_recall,r20_recall
none,0.5815396741136193,0.45724315771009666,-0.12429651640352263,r19,0.6136817063707686,0.3008703550674763,0.5525969985100809,0.9520639547438206
1111002:01,0.581677958250893,0.4571656750341406,-0.1245122832167524,r19,0.6137245889805569,0.30079628801522607,0.5528119788410085,0.9521338276292203
1111003:01,0.5816533498813484,0.45733042087127035,-0.12432292901007808,r19,0.6139175723988743,0.300945079841328,0.5526110691234017,0.9520724176359165
1111004:01,0.6063113517031511,0.4476307857559184,-0.15868056594723268,r19,0.6151019940379513,0.2908496141393054,0.5977684295309341,0.9710953514802447
1111005:01,0.5881069513958275,0.4481344251972873,-0.13997252619854017,r19,0.613258840575311,0.2928872090764953,0.5649369133971347,0.9535952325235446
1111006:01,0.5830926409604396,0.4560243646628107,-0.12706827629762885,r19,0.6154423335245283,0.29978017699864173,0.5539739316960677,0.9524236074044867
1111007:01,0.5910464905972114,0.4491702801013023,-0.1418762104959091,r19,0.6237572916079073,0.29332796476476436,0.561595547955239,0.9583124103706235
1111008:01,0.5816860939411124,0.4569201164889265,-0.12476597745218587,r19,0.6137831688517383,0.3005646567449138,0.5527791528912689,0.9523251001216109
1111009:01,0.4363748893062908,0.5992331655071274,0.16285827620083654,r20,0.6214118190400728,0.4508228676618243,0.33625015124584673,0.8933094753167801
1111010:01,0.5762774107600852,0.4578918329166498,-0.1183855778434354,r19,0.6083715401319364,0.30154387980847985,0.547399794588497,0.9509528467371814
1111011:01,0.5764920267981524,0.44880511281145435,-0.12768691398669801,r19,0.6091280649310791,0.2935996764152474,0.5471753110764624,0.9521280356525144
1111013:01,0.60165035079904,0.4555597008147638,-0.14609064998427612,r19,0.616217520090687,0.2993215298682318,0.587756001963385,0.9530026945258491
118:01,0.582271618323333,0.45944220606347913,-0.12282941225985383,r19,0.6136905735431288,0.3027767075580945,0.553913075957759,0.9520720509194078
118:02,0.5816823390737035,0.45880044990569246,-0.12288188916801102,r19,0.6137745291160654,0.3022137261635261,0.5527793787320361,0.9521296959084032
130:06,0.5792668382882156,0.44776516207197864,-0.13150167621623693,r19,0.6059996236934405,0.29283170356139576,0.5547929598245199,0.9508448432876492
