control_family,control_bin,fp_rate_r19,fp_rate_r20,n_model_grid_rows_r19,n_model_grid_rows_r20,pooled_f1_r19,pooled_f1_r20,r20_minus_r19_f1,r20_minus_r19_fp_rate,lambda_star
jrc_memory_control_bin,dry_or_trace,0.016367731547705693,0.2036683647471591,31958,31958,0.48099301007781464,0.2912320257842475,-0.18976098429356714,0.18730063319945342,-1.0131358397037225
jrc_memory_control_bin,high,0.7284173506096814,0.9319927699954812,57,57,0.12022733479203401,0.10166284769546724,-0.018564487096566773,0.20357541938579982,-0.09119218397082039
jrc_memory_control_bin,low,0.07128702833575189,0.20655438945537544,7945,7945,0.6780568686298737,0.7060043830507983,0.02794751442092458,0.13526736111962356,0.20660944509894905
jrc_memory_control_bin,moderate,0.2985822525827188,0.5024337751250662,710,710,0.3809181909379568,0.4213686828397441,0.04045049190178729,0.20385152254234734,0.19843114928604105
hydro_distance_bin,far_2_10km,0.01965224107601919,0.1867030629465188,11293,11293,0.6042053329127728,0.42237902148820644,-0.18182631142456634,0.16705082187049963,-1.0884490683052186
hydro_distance_bin,mid_0_5_2km,0.03538734023422,0.22612178245053793,19721,19721,0.5811555077527665,0.4535745590201635,-0.12758094873260295,0.19073444221631794,-0.6688930811348135
hydro_distance_bin,near_0_500m,0.05031175120778062,0.245125516390459,8426,8426,0.5508764192979433,0.47733146361306783,-0.07354495568487546,0.19481376518267837,-0.37751416392939063
hydro_distance_bin,very_far_gt10km,0.07390697498962616,0.21381543375205905,23,23,0.1300948810830234,0.245997168754886,0.11590228767186261,0.1399084587624329,0.8284151558603529
rain_event3d_bin,high,0.01486622728958443,0.06108975984696421,14412,14412,0.4795022975451972,0.6418604836578762,0.162358186112679,0.04622353255737978,3.512457337853505
rain_event3d_bin,low,0.051855313246827704,0.33293804506983005,14412,14412,0.6363819166540575,0.4380865907740597,-0.19829532587999782,0.28108273182300236,-0.7054696124302089
rain_event3d_bin,mid,0.031260862846142747,0.22919848130711587,14412,14412,0.554617394813778,0.39863520328033697,-0.15598219153344106,0.19793761846097313,-0.78803712374763
sar_post_lag_bin,1_3d,0.0032910346058066084,0.6197993776193513,168,168,0.1289156334558378,0.16615124270856732,0.03723560925272951,0.6165083430135447,0.06039757559600688
sar_post_lag_bin,gt10d,0.013320843798747295,0.061177472642096185,373,373,0.6516775040829867,0.9238703613576111,0.2721928572746244,0.04785662884334889,5.6876730319974
sar_post_lag_bin,same_day,0.032943086187337184,0.20733320886441092,42695,42695,0.5800187462194887,0.4499361542967882,-0.1300825919227005,0.17439012267707374,-0.7459286680105183
land_background_bin,built_up,0.01132327994339975,0.03645858068080808,777,777,0.35037906503282323,0.47084933475510504,0.12047026972228181,0.02513530073740833,4.7928716262777185
land_background_bin,other,0.025405720941975903,0.20384037880727499,40829,40829,0.6079001938113162,0.4557950187503954,-0.1521051750609208,0.17843465786529908,-0.8524418791765528
land_background_bin,water_wetland,0.23190674129809322,0.3927475855514362,1630,1630,0.3707529962134832,0.4752630774853756,0.10451008127189243,0.16084084425334297,0.6497732697005553
