event_aoi,region,aoi_name,flood_weight,r19_selected_f1,r20_selected_f1,r20_minus_r19_f1,r19_recall,r20_recall,r19_fp_per_flood,r20_fp_per_flood
1111009:01,Pakistan,Larkana,0.5877661655608437,0.654433422706968,0.3977883615445531,-0.2566450611624149,0.7043333447685582,0.9932718121603396,0.4481647408432267,3.0006993955623438
1111004:01,USA,Houston,0.0800270784615404,0.0616890954820376,0.6793274900485277,0.6176383945664901,0.0333165978604608,0.7332833870515999,0.0468288508651347,0.4255675288717875
1111013:01,USA,St Louis,0.0793972151579964,0.2261262894732831,0.4779806264305213,0.2518543369572382,0.1449318628126679,0.9411793606701148,0.136934683091909,1.9969692111608544
1111007:01,Nepal,Patna,0.0681509229482045,0.4516691490975398,0.6278638201249462,0.1761946710274063,0.4295569921164995,0.8666268490239065,0.4725299357809595,0.8939298871532027
1111011:01,Philippines,Tuguegarao,0.052240071510407,0.6711558144363632,0.6944104060433076,0.0232545916069444,0.6509593848126233,0.9509013736889856,0.2888565887979135,0.7878288222109924
1111005:01,Madagascar,Farihy Alaotra,0.0505895316603956,0.4248518999020337,0.754476422949539,0.3296245230475052,0.3210146140192531,0.923326563700844,0.1901689965202103,0.524268975709665
130:06,Myanmar,Pathein,0.0389927090276743,0.6516775040829867,0.9238703613576112,0.2721928572746245,0.4984757310605358,0.9821099563452224,0.0313476184870903,0.1439674619237847
1111010:01,Peru,Sechura,0.0234516347446921,0.7973561707538251,0.4329169816090166,-0.3644391891448085,0.7690135105687974,0.9983315484240912,0.1598948964277086,2.613783895574461
1111006:01,Madagascar,Ambato Boeny,0.0133266691296998,0.4680794348927096,0.5741712352594016,0.106091800366692,0.4506523010180627,0.9254361691206991,0.4748854065779079,1.2981184511402808
118:01,Spain,Zaragoza,0.0027330161011279,0.1289156334558378,0.1661512427085673,0.0372356092527295,0.0723654381173125,0.9491096916475328,0.0503135757061347,9.475537830397077
1111008:01,Nicaragua,Dakban,0.0023806913653108,0.5181094015777636,0.6874098205285207,0.1693004189507571,0.4762659249095879,0.8426320161731914,0.3622103639176267,0.6089827004316043
1111002:01,Cameroon,Djagala,0.0005789880895146,0.2584821700701006,0.6876039845094055,0.4291218144393049,0.1815084324972177,0.8314527865764917,0.2229089975173358,0.5869531718174814
118:02,Spain,Trespaderne,0.0003308028944963,0.002055716268769,0.0327467944209116,0.0306910781521426,0.0014534230360059,0.7533975636434469,0.412577353571375,44.26011777221714
1111003:01,Djibouti,Djibouti,3.4503348096150013e-05,0.0257146137068074,0.0541176729400635,0.0284030592332561,0.1448067806349662,0.7067950007182876,10.117799166786382,24.41387731647752
